year,gdp_growth_pct,inflation_cpi_pct,exchange_rate_lcu_per_usd,gdp_current_usd,exports_pct_gdp,merchandise_exports_usd,currency_note
2015,0.119692109287612,3.96664623255358,1,97209558000,22.754485726599,18331000000,Ecuador is fully dollarized (uses USD as official currency since 2000); no separate FX rate applies domestically. PA.NUS.FCRF returns 1.0 (official USD peg) for reference only.
2016,-0.687954245877947,1.72826463324533,1,97671433000,20.53929115589,16798000000,Ecuador is fully dollarized (uses USD as official currency since 2000); no separate FX rate applies domestically. PA.NUS.FCRF returns 1.0 (official USD peg) for reference only.
2017,5.97039880954841,0.417335588666825,1,104467486000,21.4855873912769,19122000000,Ecuador is fully dollarized (uses USD as official currency since 2000); no separate FX rate applies domestically. PA.NUS.FCRF returns 1.0 (official USD peg) for reference only.
2018,1.04429460679607,-0.224103246005552,1,107478961000,23.5438701347327,21628000000,Ecuador is fully dollarized (uses USD as official currency since 2000); no separate FX rate applies domestically. PA.NUS.FCRF returns 1.0 (official USD peg) for reference only.
2019,0.1654044646003,0.266012515466155,1,107595830000,24.0486345985713,22329000000,Ecuador is fully dollarized (uses USD as official currency since 2000); no separate FX rate applies domestically. PA.NUS.FCRF returns 1.0 (official USD peg) for reference only.
2020,-9.24509619165865,-0.338872392562139,1,95865473000,23.2835621642424,20355000000,Ecuador is fully dollarized (uses USD as official currency since 2000); no separate FX rate applies domestically. PA.NUS.FCRF returns 1.0 (official USD peg) for reference only.
2021,9.42189269033631,0.133251386096389,1,107179074000,27.0659755840025,26699000000,Ecuador is fully dollarized (uses USD as official currency since 2000); no separate FX rate applies domestically. PA.NUS.FCRF returns 1.0 (official USD peg) for reference only.
2022,5.86842354862311,3.46616972213077,1,116133121000,30.9252456928287,32658000000,Ecuador is fully dollarized (uses USD as official currency since 2000); no separate FX rate applies domestically. PA.NUS.FCRF returns 1.0 (official USD peg) for reference only.
2023,1.8328406107788,2.21568764237058,1,120792801000,28.649536821321,31126000000,Ecuador is fully dollarized (uses USD as official currency since 2000); no separate FX rate applies domestically. PA.NUS.FCRF returns 1.0 (official USD peg) for reference only.
2024,-1.94409022506859,1.54732515615369,1,123802374000,30.4978780132278,34421000000,Ecuador is fully dollarized (uses USD as official currency since 2000); no separate FX rate applies domestically. PA.NUS.FCRF returns 1.0 (official USD peg) for reference only.
